date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2015-01-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2015-02-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2015-03-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2015-04-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2015-05-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2015-08-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2015-09-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2015-10-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2015-11-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2015-12-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-01-15,Bread - Retail,Unit,cereals and tubers,140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-02-15,Bread - Retail,Unit,cereals and tubers,220.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-03-15,Bread - Retail,Unit,cereals and tubers,220.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-04-15,Bread - Retail,Unit,cereals and tubers,220.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-05-15,Bread - Retail,Unit,cereals and tubers,220.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-06-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-07-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-08-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-09-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-10-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-11-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2016-12-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2017-01-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2017-02-15,Bread - Retail,Unit,cereals and tubers,309.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2017-03-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2017-04-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2017-05-15,Bread - Retail,Unit,cereals and tubers,308.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2017-06-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2017-07-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2017-08-15,Bread - Retail,Unit,cereals and tubers,300.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2018-02-15,Bread - Retail,Unit,cereals and tubers,375.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2018-03-15,Bread - Retail,Unit,cereals and tubers,375.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2018-04-15,Bread - Retail,Unit,cereals and tubers,375.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2018-05-15,Bread - Retail,Unit,cereals and tubers,375.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,55,15,33,1,1980_55_15_33,
2015-01-15,Oil (palm) - Wholesale,100 KG,oil and fats,7000.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
2015-02-15,Oil (palm) - Wholesale,100 KG,oil and fats,7000.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
2015-03-15,Oil (palm) - Wholesale,100 KG,oil and fats,7200.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
2015-04-15,Oil (palm) - Wholesale,100 KG,oil and fats,7500.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
2015-05-15,Oil (palm) - Wholesale,100 KG,oil and fats,7500.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
2015-08-15,Oil (palm) - Wholesale,100 KG,oil and fats,6140.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
2015-09-15,Oil (palm) - Wholesale,100 KG,oil and fats,6192.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
2015-10-15,Oil (palm) - Wholesale,100 KG,oil and fats,6047.5,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
2015-11-15,Oil (palm) - Wholesale,100 KG,oil and fats,6053.3333,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
2015-12-15,Oil (palm) - Wholesale,100 KG,oil and fats,6380.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
2016-01-15,Oil (palm) - Wholesale,100 KG,oil and fats,6260.0,NGN,Nigeria,Adamawa,2211,Mubi,1980,62,14,9,6,1980_62_14_9,
