Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nigeria,NGA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.3691931003437
Nigeria,NGA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.2033993214533
Nigeria,NGA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.0376055425629
Nigeria,NGA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.8729097357181
Nigeria,NGA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.7049200127365
Nigeria,NGA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.542420149983
Nigeria,NGA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.3733324549557
Nigeria,NGA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.2152244803847
Nigeria,NGA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.0494307014943
Nigeria,NGA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.8858328666952
Nigeria,NGA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.7211370598505
Nigeria,NGA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.5575392250513
Nigeria,NGA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.3917454461609
Nigeria,NGA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.2303435554531
Nigeria,NGA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.0656477486083
Nigeria,NGA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.9020499138092
Nigeria,NGA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.7472358553751
Nigeria,NGA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.5792461323935
Nigeria,NGA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.4189422137312
Nigeria,NGA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.2553443789321
Nigeria,NGA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.100530320498
Nigeria,NGA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.9259527652426
Nigeria,NGA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.7634529024891
Nigeria,NGA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.59985506769
Nigeria,NGA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.7093997386826
